epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.429,2.18751,3.59986,1.24694,0.88832,0.8275,0.86403,0.37531,1.86126,3.13866,1.08099,0.000663283,0.000663283,0.000663283
2,383.687,1.78447,1.22497,1.11871,0.88366,0.80992,0.84383,0.36639,1.89211,1.38293,1.05493,0.00126412,0.00126412,0.00126412
3,582.595,1.73458,0.99786,1.09583,0.87011,0.85128,0.86012,0.37828,1.87476,1.55011,1.05074,0.00179895,0.00179895,0.00179895
4,779.739,1.65785,0.91394,1.06641,0.86222,0.78437,0.81639,0.33672,2.00966,1.38149,1.06677,0.001703,0.001703,0.001703
5,969.647,1.63951,0.90574,1.07164,0.88079,0.78541,0.82687,0.36336,1.84326,1.29367,1.03546,0.001604,0.001604,0.001604
6,1148.31,1.58449,0.84636,1.04719,0.88681,0.8395,0.85951,0.40282,1.79732,1.42213,1.03195,0.001505,0.001505,0.001505
7,1332.47,1.56156,0.84005,1.03745,0.91115,0.83586,0.87623,0.45868,1.68691,1.22923,1.0173,0.001406,0.001406,0.001406
8,1519.27,1.51131,0.7982,1.01848,0.89859,0.80111,0.849,0.39666,1.80651,1.26261,1.01513,0.001307,0.001307,0.001307
9,1703.98,1.50307,0.78221,1.01522,0.91178,0.81426,0.85513,0.44541,1.70461,1.13877,1.02334,0.001208,0.001208,0.001208
10,1888.71,1.47827,0.76185,1.00923,0.88909,0.84415,0.87179,0.40932,1.74406,1.1203,1.0045,0.001109,0.001109,0.001109
11,2081.76,1.47402,0.73019,1.03118,0.89367,0.7879,0.82204,0.41348,1.70552,1.33836,1.00999,0.00101,0.00101,0.00101
12,2260.28,1.433,0.70055,1.01651,0.8911,0.85013,0.87822,0.43988,1.70393,1.25556,1.0052,0.000911,0.000911,0.000911
13,2440.08,1.40819,0.68647,1.00639,0.89265,0.82265,0.85878,0.44036,1.67332,1.41131,0.99829,0.000812,0.000812,0.000812
14,2622.79,1.39064,0.66827,1.00312,0.9056,0.82463,0.85868,0.45296,1.63269,1.26115,0.99149,0.000713,0.000713,0.000713
15,2802.06,1.3618,0.64945,0.9956,0.90714,0.79018,0.83627,0.44418,1.67336,1.38259,1.00723,0.000614,0.000614,0.000614
16,2982.97,1.34393,0.64032,0.99213,0.90803,0.8467,0.88687,0.47313,1.63328,1.21035,0.98502,0.000515,0.000515,0.000515
17,3161.38,1.32334,0.61569,0.98297,0.90958,0.83822,0.88247,0.47582,1.59883,1.19016,0.97835,0.000416,0.000416,0.000416
18,3342.94,1.29664,0.59571,0.9771,0.91073,0.81948,0.86076,0.45503,1.62348,1.1817,0.98394,0.000317,0.000317,0.000317
19,3524.65,1.28563,0.59588,0.97344,0.91364,0.83865,0.87589,0.46518,1.60357,1.15133,0.97703,0.000218,0.000218,0.000218
20,3705.89,1.27133,0.58651,0.96802,0.9052,0.83111,0.863,0.45966,1.59741,1.18876,0.97641,0.000119,0.000119,0.000119
