epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.581,2.85665,5.15595,1.37263,0.31131,0.49449,0.26298,0.0796,2.40735,2.0574,1.15647,0.00332937,0.00332937,0.00332937
2,556.904,2.53576,1.99748,1.23565,0.51466,0.54664,0.38467,0.11602,2.29988,10.1069,1.15624,0.00653078,0.00653078,0.00653078
3,834.45,2.52708,1.92225,1.25314,0.41714,0.43508,0.25739,0.06282,2.77948,3.9974,1.32593,0.00960019,0.00960019,0.00960019
4,1107.4,2.48698,1.86316,1.23877,0.58536,0.59789,0.43897,0.14985,2.30732,2.11058,1.1495,0.009406,0.009406,0.009406
5,1379.92,2.39729,1.75395,1.21111,0.59114,0.65723,0.49113,0.17366,2.15943,1.863,1.10096,0.009208,0.009208,0.009208
6,1657.85,2.35184,1.68325,1.19207,0.60715,0.68522,0.49216,0.17353,2.14798,2.49601,1.10774,0.00901,0.00901,0.00901
7,1932.92,2.31722,1.63174,1.18311,0.60441,0.71435,0.51182,0.18778,2.08667,2.16925,1.08132,0.008812,0.008812,0.008812
8,2207.45,2.27899,1.60894,1.16675,0.61204,0.73445,0.51926,0.19319,2.05906,2.20626,1.07045,0.008614,0.008614,0.008614
9,2483.74,2.25414,1.56882,1.16308,0.6118,0.72046,0.52416,0.1935,2.06282,1.78827,1.07148,0.008416,0.008416,0.008416
10,2761.88,2.23116,1.54343,1.15964,0.61924,0.74326,0.53344,0.20703,2.01699,2.04179,1.06116,0.008218,0.008218,0.008218
11,3035.29,2.22358,1.52791,1.15062,0.61627,0.74597,0.53743,0.20584,2.02429,1.71638,1.05569,0.00802,0.00802,0.00802
12,3309.7,2.20316,1.50924,1.14233,0.62188,0.76607,0.54313,0.21146,1.99007,1.73342,1.0496,0.007822,0.007822,0.007822
13,3583.61,2.19394,1.51249,1.13902,0.62684,0.76056,0.54755,0.21687,1.96774,1.74586,1.03636,0.007624,0.007624,0.007624
14,3858.02,2.17094,1.47995,1.13129,0.63131,0.76674,0.55093,0.21816,1.96398,1.67166,1.03936,0.007426,0.007426,0.007426
15,4133.27,2.16459,1.48641,1.13065,0.63023,0.76956,0.55704,0.22213,1.95965,1.58944,1.03296,0.007228,0.007228,0.007228
16,4408.97,2.14928,1.45349,1.1255,0.63451,0.77773,0.55844,0.2255,1.94987,1.53683,1.02999,0.00703,0.00703,0.00703
